forward_num_0.15,reverse_num_0.15,forward_rate_0.15,reverse_rate_0.15,organism_num_0.15,organism_rate_0.15,forward_num_0.30,reverse_num_0.30,forward_rate_0.30,reverse_rate_0.30,organism_num_0.30,organism_rate_0.30,forward_num_0.40,reverse_num_0.40,forward_rate_0.40,reverse_rate_0.40,organism_num_0.40,organism_rate_0.40,forward_num_0.20,reverse_num_0.20,forward_rate_0.20,reverse_rate_0.20,organism_num_0.20,organism_rate_0.20,forward_num_0.10,reverse_num_0.10,forward_rate_0.10,reverse_rate_0.10,organism_num_0.10,organism_rate_0.10,forward_num_0.25,reverse_num_0.25,forward_rate_0.25,reverse_rate_0.25,organism_num_0.25,organism_rate_0.25,forward_num_0.35,reverse_num_0.35,forward_rate_0.35,reverse_rate_0.35,organism_num_0.35,organism_rate_0.35,forward_num_0.55,reverse_num_0.55,forward_rate_0.55,reverse_rate_0.55,organism_num_0.55,organism_rate_0.55,forward_num_0.60,reverse_num_0.60,forward_rate_0.60,reverse_rate_0.60,organism_num_0.60,organism_rate_0.60,forward_num_0.45,reverse_num_0.45,forward_rate_0.45,reverse_rate_0.45,organism_num_0.45,organism_rate_0.45,forward_num_0.50,reverse_num_0.50,forward_rate_0.50,reverse_rate_0.50,organism_num_0.50,organism_rate_0.50
713.2,285.5,6.24856812627126,4.83646656744965,998.7,5.84477587689538,715.6,282.6,6.18945329585742,4.82394861004579,998.2,5.80378345251984,714.7,283.3,5.58661789313761,4.85143314319824,998.0,5.37748486542393,712.4,285.9,6.28834798971252,4.74524016964907,998.3,5.84836290244727,717.4,280.7,6.32420489971236,4.82404257080404,998.1,5.90272223377441,717.2,281.5,6.17883545821548,4.79745345081221,998.7,5.78963221738773,714.7,283.2,6.02644784993073,4.84373077476722,997.9,5.6888839386166,724.8,273.9,4.77094512936099,5.1172006674105,998.7,4.86509911820955,702.9,295.6,4.85329162198388,5.13649982570463,998.5,4.93738979460422,711.4,287.1,5.04176252689542,4.90947558143308,998.5,5.00371645235546,698.4,299.3,4.76618126440598,5.00425401422677,997.7,4.83761208825294
705.7,292.1,6.29312544565204,4.810606555005,997.8,5.86050885920517,710.6,287.7,6.20595067369976,4.84428416531429,998.3,5.81615910145557,711.7,286.6,5.57587124061405,4.83568428537874,998.3,5.3635359629634,715.7,282.7,6.38639181503335,4.74267007567433,998.4,5.92299332113826,717.7,280.9,6.3958703793493,4.80642701238745,998.6,5.94992868620123,710.4,287.6,6.23915338333818,4.80167321169113,998.0,5.82539311618059,714.5,283.7,6.0680651159773,4.83078952193956,998.2,5.71863895501341,721.7,276.6,4.72757746725731,5.11066227912188,998.3,4.83326892318055,699.0,299.1,4.83613859748862,5.12926278605803,998.1,4.92406219251535,711.8,286.6,5.00187056825817,4.93356852130642,998.4,4.98291773571338,683.8,314.3,4.72745236816648,5.07423768872663,998.1,4.83706582806669
694.0,304.2,6.30636472937492,5.0446351076706,998.2,5.92529396370036,696.0,302.1,6.25789330728457,5.07419653493549,998.1,5.90492752980557,695.9,302.2,5.5682042297724,5.0368989129334,998.1,5.4090868094509,694.7,303.3,6.41577459591807,5.00560556898078,998.0,5.9919987246137,702.1,296.0,6.41224509407168,5.02265247054287,998.1,6.00202048952388,700.0,298.1,6.2538600619053,4.98678666713193,998.1,5.87564590497879,699.2,299.1,6.07214273172769,5.01921548912287,998.3,5.76127701572205,705.2,293.2,4.73031155440216,5.11664424918419,998.4,4.84423133372306,683.4,314.4,4.81590263635198,5.1308528698761,997.8,4.91635829511775,696.8,301.7,4.98861454483642,5.10969548260757,998.5,5.02563674994927,676.8,321.8,4.69849856771944,5.181753708897,998.6,4.85430791512956
687.4,310.9,6.34522309808148,5.35190987626111,998.3,6.03747184057805,688.4,310.1,6.28516859134634,5.44491694886071,998.5,6.02992842541941,683.1,315.3,5.58654776598027,5.36957234929252,998.4,5.51792564851652,692.5,306.2,6.47413740168303,5.26465769991988,998.7,6.10784612267578,696.3,301.8,6.48101591610279,5.41934251207094,998.1,6.16412396541361,683.4,314.8,6.2800651542015,5.42061308264296,998.2,6.01042825789913,695.4,302.4,6.08152092393679,5.25100827678075,997.8,5.83294639266867,695.0,303.5,4.69246035270277,5.21818659471445,998.5,4.85256860066479,686.6,311.8,4.79444663835807,5.18833552273528,998.4,4.91728762830967,691.9,306.2,4.96721431298564,5.29464423698729,998.1,5.06804202831583,679.9,318.2,4.65138358839263,5.27752221437525,998.1,4.85113432223314
691.8,306.6,6.36080347047248,5.49704751522229,998.4,6.09738189688704,695.7,302.3,6.26966405247745,5.5174939076682,998.0,6.04429420265995,700.8,297.6,5.5648682606662,5.40035717930812,998.4,5.51584653479195,688.1,310.0,6.4826507889461,5.3954999695048,998.1,6.14849329523613,704.8,293.3,6.4750568537928,5.53545374188798,998.1,6.20117342344002,698.0,300.2,6.29011858812439,5.47263587025628,998.2,6.04371813742712,700.1,298.5,6.08726870693533,5.38396264514346,998.6,5.8772252212132,704.8,293.0,4.70488838881323,5.25128213929764,997.8,4.86547747303394,707.3,291.2,4.84647376042561,5.17670071698515,998.5,4.94299739032866,708.3,290.1,4.94104766315828,5.36580692219868,998.4,5.06568722367672,697.9,300.6,4.6637373117177,5.28314330690024,998.5,4.84987071239576
685.1,313.3,6.36151167198275,5.49916367094015,998.4,6.09306216436073,686.9,311.5,6.27844084703448,5.50986163317482,998.4,6.0416903367771,701.0,297.5,5.52742515790031,5.42321149898399,998.5,5.49595477975166,678.5,319.4,6.49115219741469,5.39318676717673,997.9,6.14563905172328,696.2,302.3,6.50028124839805,5.50873078977003,998.5,6.20200910634999,683.3,314.8,6.28639573625294,5.44641718095205,998.1,6.02198245093052,697.1,301.3,6.0888287790242,5.4308760285435,998.4,5.88980890698277,723.3,274.5,4.75267787971512,5.22397851788948,997.8,4.88296147921607,716.2,282.2,4.88891845380093,5.1141824170832,998.4,4.95306473208014,704.7,293.6,4.89869227708428,5.30689406067938,998.3,5.01864878395066,694.7,303.7,4.64385284922636,5.19189320677256,998.4,4.80788647846686
671.5,326.3,6.38918048723484,5.51081571870918,997.8,6.10467255544324,679.3,318.8,6.29520184593788,5.63200989806535,998.1,6.09142116257856,682.6,315.1,5.53479386223566,5.43825384060978,997.7,5.5047340475973,664.5,333.8,6.54235656119694,5.52918537890813,998.3,6.20826860071072,677.8,320.5,6.53263718606654,5.63413847161381,998.3,6.24644636366816,665.5,332.7,6.31926724472427,5.57209606918838,998.2,6.0722287729546,683.3,314.8,6.09765227654275,5.4868683523861,998.1,5.90355534488183,721.5,277.0,4.74395767069906,5.06450089373319,998.5,4.83294403311197,711.0,287.2,4.87562565028305,4.97805130299366,998.2,4.90632801839435,685.1,313.0,4.88453386416019,5.2057436043471,998.1,4.98538529132204,673.2,324.9,4.63363313770247,5.08930571809664,998.1,4.78198547993122
666.9,331.7,6.42988661305259,5.71113301132661,998.6,6.1917053325871,682.5,316.1,6.32932078496297,5.68817192485136,998.6,6.12879231937348,676.0,322.5,5.52883175618794,5.39066047673456,998.5,5.48463714708169,667.8,330.5,6.53318605797575,5.63660980986083,998.3,6.23813475155588,681.6,316.8,6.57728499431392,5.73359978790126,998.4,6.31087621220012,670.1,327.5,6.35135972653362,5.66782500417617,997.6,6.1268560661455,678.0,320.4,6.10369386842193,5.52469421655615,998.4,5.91727843508574,709.4,288.9,4.72639618057289,4.89366214444446,998.3,4.77610290867668,710.5,287.9,4.87876080244684,4.88625191880816,998.4,4.88223903316305,685.2,312.9,4.85752238414805,5.1590800185109,998.1,4.95180766639173,673.9,324.1,4.58699650935473,5.04242380534875,998.0,4.73536886770487
669.3,328.6,6.46270866774664,5.75415396386875,997.9,6.23516776052881,685.0,312.9,6.34788077481336,5.71903647229274,997.9,6.1560366707786,686.5,311.4,5.52427961828549,5.3924284938107,997.9,5.48273746066158,674.4,323.4,6.58072602499982,5.69363470287183,997.8,6.29710532326245,691.8,306.4,6.60528452945078,5.70071795110587,998.2,6.32862318985579,681.5,317.0,6.4059649078051,5.69064979243281,998.5,6.18112813911191,686.0,312.5,6.10635016841667,5.56795593421797,998.5,5.93720564251626,713.7,284.8,4.71233265627562,5.04163947973634,998.5,4.80798078949618,711.0,287.4,4.88681536158599,4.96760628881231,998.4,4.91136164737429,696.8,301.4,4.81382805249689,5.13073645975299,998.2,4.90873657398437,687.0,310.8,4.56931175396926,5.02443038979686,997.8,4.71126699264923
667.0,331.4,6.47286392117469,5.85796829888505,998.4,6.27101463738941,681.6,316.8,6.36335169193571,5.79541190238481,998.4,6.18799897151902,681.2,316.9,5.5003229835859,5.43208900815122,998.1,5.47869269009312,673.7,324.4,6.57045864878178,5.81192515413083,998.1,6.33024549867302,675.8,322.4,6.6090776600027,5.90741806388354,998.2,6.38401020653098,667.4,330.4,6.42044676073038,5.82136080616485,997.8,6.22499414062806,684.2,314.0,6.1103652337072,5.65998113414387,998.2,5.96664087288757,717.7,280.7,4.77278199987084,5.08077079930306,998.4,4.86070354831508,714.4,284.1,4.94860390019289,5.05756565406699,998.5,4.98009402992579,684.7,313.4,4.7936770272008,5.04589223918871,998.1,4.87244910371686,689.3,308.8,4.56247108355809,4.92402225271745,998.1,4.67421936653753
669.7,328.7,6.51082358410773,5.93612992754252,998.4,6.3234821552688,689.1,309.2,6.4186979705042,5.81916384584177,998.3,6.23506840106439,683.7,314.4,5.51463065995157,5.44177610514237,998.1,5.4919495951579,680.6,317.7,6.63200880601086,5.78175968221564,998.3,6.36574455946108,688.7,309.6,6.6900827140863,5.92126515478954,998.3,6.45285795571392,675.9,322.3,6.4863835441423,5.82192186905707,998.2,6.27176435203492,693.1,305.3,6.13559363989251,5.66281392683181,998.4,5.99008027633412,722.7,275.7,4.82100924739317,5.03083848063615,998.4,4.88110500405592,716.8,281.2,5.00714070087941,5.07570998709386,998.0,5.02696918672109,695.2,303.2,4.77153550166161,5.0489045976357,998.4,4.85506160749767,691.9,306.5,4.52583763211576,4.8696475463716,998.4,4.6322308236462
